Day,Date,Passage,Status,Notes
1,2026-01-01,Day 1 Assignment,Read,
2,2026-01-02,Day 2 Assignment,Read,
3,2026-01-03,Day 3 Assignment,Read,
4,2026-01-04,Day 4 Assignment,Read,
5,2026-01-05,Day 5 Assignment,Read,
6,2026-01-06,Day 6 Assignment,Read,
7,2026-01-07,Day 7 Assignment,Read,
8,2026-01-08,Day 8 Assignment,Read,
9,2026-01-09,Day 9 Assignment,Read,
10,2026-01-10,Day 10 Assignment,Read,
11,2026-01-11,Day 11 Assignment,Read,
12,2026-01-12,Day 12 Assignment,Read,
13,2026-01-13,Day 13 Assignment,Read,
14,2026-01-14,Day 14 Assignment,Read,
15,2026-01-15,Day 15 Assignment,Read,
16,2026-01-16,Day 16 Assignment,Read,
17,2026-01-17,Day 17 Assignment,Read,
18,2026-01-18,Day 18 Assignment,Read,
19,2026-01-19,Day 19 Assignment,Read,
20,2026-01-20,Day 20 Assignment,Read,
21,2026-01-21,Day 21 Assignment,Read,
22,2026-01-22,Day 22 Assignment,Read,
23,2026-01-23,Day 23 Assignment,Read,
24,2026-01-24,Day 24 Assignment,Read,
25,2026-01-25,Day 25 Assignment,Read,
26,2026-01-26,Day 26 Assignment,Read,
27,2026-01-27,Day 27 Assignment,Read,
28,2026-01-28,Day 28 Assignment,Read,
29,2026-01-29,Day 29 Assignment,Read,
30,2026-01-30,Day 30 Assignment,Read,
31,2026-01-31,Day 31 Assignment,Read,
32,2026-02-01,Day 32 Assignment,Read,
33,2026-02-02,Day 33 Assignment,Read,
34,2026-02-03,Day 34 Assignment,Read,
35,2026-02-04,Day 35 Assignment,Read,
36,2026-02-05,Day 36 Assignment,Read,
37,2026-02-06,Day 37 Assignment,Read,
38,2026-02-07,Day 38 Assignment,Read,
39,2026-02-08,Day 39 Assignment,Read,
40,2026-02-09,Day 40 Assignment,Read,
41,2026-02-10,Day 41 Assignment,Read,
42,2026-02-11,Day 42 Assignment,Read,
43,2026-02-12,Day 43 Assignment,Read,
44,2026-02-13,Day 44 Assignment,Read,
45,2026-02-14,Day 45 Assignment,Read,
46,2026-02-15,Day 46 Assignment,Read,
47,2026-02-16,Day 47 Assignment,Read,
48,2026-02-17,Day 48 Assignment,Read,
49,2026-02-18,Day 49 Assignment,Read,
50,2026-02-19,Day 50 Assignment,Read,
51,2026-02-20,Day 51 Assignment,Read,
52,2026-02-21,Day 52 Assignment,Read,
53,2026-02-22,Day 53 Assignment,Read,
54,2026-02-23,Day 54 Assignment,Read,
55,2026-02-24,Day 55 Assignment,Read,
56,2026-02-25,Day 56 Assignment,Read,
57,2026-02-26,Day 57 Assignment,Read,
58,2026-02-27,Day 58 Assignment,Read,
59,2026-02-28,Day 59 Assignment,Read,
60,2026-03-01,Day 60 Assignment,Read,
61,2026-03-02,Day 61 Assignment,Read,
62,2026-03-03,Day 62 Assignment,Read,
63,2026-03-04,Day 63 Assignment,Read,
64,2026-03-05,Day 64 Assignment,Read,
65,2026-03-06,Day 65 Assignment,Pending,
66,2026-03-07,Day 66 Assignment,Pending,
67,2026-03-08,Day 67 Assignment,Pending,
68,2026-03-09,Day 68 Assignment,Pending,
69,2026-03-10,Day 69 Assignment,Pending,
70,2026-03-11,Day 70 Assignment,Pending,
71,2026-03-12,Day 71 Assignment,Pending,
72,2026-03-13,Day 72 Assignment,Pending,
73,2026-03-14,Day 73 Assignment,Pending,
74,2026-03-15,Day 74 Assignment,Pending,
75,2026-03-16,Day 75 Assignment,Pending,
76,2026-03-17,Day 76 Assignment,Pending,
77,2026-03-18,Day 77 Assignment,Pending,
78,2026-03-19,Day 78 Assignment,Pending,
79,2026-03-20,Day 79 Assignment,Pending,
80,2026-03-21,Day 80 Assignment,Pending,
81,2026-03-22,Day 81 Assignment,Pending,
82,2026-03-23,Day 82 Assignment,Pending,
83,2026-03-24,Day 83 Assignment,Pending,
84,2026-03-25,Day 84 Assignment,Pending,
85,2026-03-26,Day 85 Assignment,Pending,
86,2026-03-27,Day 86 Assignment,Pending,
87,2026-03-28,Day 87 Assignment,Pending,
88,2026-03-29,Day 88 Assignment,Pending,
89,2026-03-30,Day 89 Assignment,Pending,
90,2026-03-31,Day 90 Assignment,Pending,
91,2026-04-01,Day 91 Assignment,Pending,
92,2026-04-02,Day 92 Assignment,Pending,
93,2026-04-03,Day 93 Assignment,Pending,
94,2026-04-04,Day 94 Assignment,Pending,
95,2026-04-05,Day 95 Assignment,Pending,
96,2026-04-06,Day 96 Assignment,Pending,
97,2026-04-07,Day 97 Assignment,Pending,
98,2026-04-08,Day 98 Assignment,Pending,
99,2026-04-09,Day 99 Assignment,Pending,
100,2026-04-10,Day 100 Assignment,Pending,
101,2026-04-11,Day 101 Assignment,Pending,
102,2026-04-12,Day 102 Assignment,Pending,
103,2026-04-13,Day 103 Assignment,Pending,
104,2026-04-14,Day 104 Assignment,Pending,
105,2026-04-15,Day 105 Assignment,Pending,
106,2026-04-16,Day 106 Assignment,Pending,
107,2026-04-17,Day 107 Assignment,Pending,
108,2026-04-18,Day 108 Assignment,Pending,
109,2026-04-19,Day 109 Assignment,Pending,
110,2026-04-20,Day 110 Assignment,Pending,
111,2026-04-21,Day 111 Assignment,Pending,
112,2026-04-22,Day 112 Assignment,Pending,
113,2026-04-23,Day 113 Assignment,Pending,
114,2026-04-24,Day 114 Assignment,Pending,
115,2026-04-25,Day 115 Assignment,Pending,
116,2026-04-26,Day 116 Assignment,Pending,
117,2026-04-27,Day 117 Assignment,Pending,
118,2026-04-28,Day 118 Assignment,Pending,
119,2026-04-29,Day 119 Assignment,Pending,
120,2026-04-30,Day 120 Assignment,Pending,
121,2026-05-01,Day 121 Assignment,Pending,
122,2026-05-02,Day 122 Assignment,Pending,
123,2026-05-03,Day 123 Assignment,Pending,
124,2026-05-04,Day 124 Assignment,Pending,
125,2026-05-05,Day 125 Assignment,Pending,
126,2026-05-06,Day 126 Assignment,Pending,
127,2026-05-07,Day 127 Assignment,Pending,
128,2026-05-08,Day 128 Assignment,Pending,
129,2026-05-09,Day 129 Assignment,Pending,
130,2026-05-10,Day 130 Assignment,Pending,
131,2026-05-11,Day 131 Assignment,Pending,
132,2026-05-12,Day 132 Assignment,Pending,
133,2026-05-13,Day 133 Assignment,Pending,
134,2026-05-14,Day 134 Assignment,Pending,
135,2026-05-15,Day 135 Assignment,Pending,
136,2026-05-16,Day 136 Assignment,Pending,
137,2026-05-17,Day 137 Assignment,Pending,
138,2026-05-18,Day 138 Assignment,Pending,
139,2026-05-19,Day 139 Assignment,Pending,
140,2026-05-20,Day 140 Assignment,Pending,
141,2026-05-21,Day 141 Assignment,Pending,
142,2026-05-22,Day 142 Assignment,Pending,
143,2026-05-23,Day 143 Assignment,Pending,
144,2026-05-24,Day 144 Assignment,Pending,
145,2026-05-25,Day 145 Assignment,Pending,
146,2026-05-26,Day 146 Assignment,Pending,
147,2026-05-27,Day 147 Assignment,Pending,
148,2026-05-28,Day 148 Assignment,Pending,
149,2026-05-29,Day 149 Assignment,Pending,
150,2026-05-30,Day 150 Assignment,Pending,
151,2026-05-31,Day 151 Assignment,Pending,
152,2026-06-01,Day 152 Assignment,Pending,
153,2026-06-02,Day 153 Assignment,Pending,
154,2026-06-03,Day 154 Assignment,Pending,
155,2026-06-04,Day 155 Assignment,Pending,
156,2026-06-05,Day 156 Assignment,Pending,
157,2026-06-06,Day 157 Assignment,Pending,
158,2026-06-07,Day 158 Assignment,Pending,
159,2026-06-08,Day 159 Assignment,Pending,
160,2026-06-09,Day 160 Assignment,Pending,
161,2026-06-10,Day 161 Assignment,Pending,
162,2026-06-11,Day 162 Assignment,Pending,
163,2026-06-12,Day 163 Assignment,Pending,
164,2026-06-13,Day 164 Assignment,Pending,
165,2026-06-14,Day 165 Assignment,Pending,
166,2026-06-15,Day 166 Assignment,Pending,
167,2026-06-16,Day 167 Assignment,Pending,
168,2026-06-17,Day 168 Assignment,Pending,
169,2026-06-18,Day 169 Assignment,Pending,
170,2026-06-19,Day 170 Assignment,Pending,
171,2026-06-20,Day 171 Assignment,Pending,
172,2026-06-21,Day 172 Assignment,Pending,
173,2026-06-22,Day 173 Assignment,Pending,
174,2026-06-23,Day 174 Assignment,Pending,
175,2026-06-24,Day 175 Assignment,Pending,
176,2026-06-25,Day 176 Assignment,Pending,
177,2026-06-26,Day 177 Assignment,Pending,
178,2026-06-27,Day 178 Assignment,Pending,
179,2026-06-28,Day 179 Assignment,Pending,
180,2026-06-29,Day 180 Assignment,Pending,
181,2026-06-30,Day 181 Assignment,Pending,
182,2026-07-01,Day 182 Assignment,Pending,
183,2026-07-02,Day 183 Assignment,Pending,
184,2026-07-03,Day 184 Assignment,Pending,
185,2026-07-04,Day 185 Assignment,Pending,
186,2026-07-05,Day 186 Assignment,Pending,
187,2026-07-06,Day 187 Assignment,Pending,
188,2026-07-07,Day 188 Assignment,Pending,
189,2026-07-08,Day 189 Assignment,Pending,
190,2026-07-09,Day 190 Assignment,Pending,
191,2026-07-10,Day 191 Assignment,Pending,
192,2026-07-11,Day 192 Assignment,Pending,
193,2026-07-12,Day 193 Assignment,Pending,
194,2026-07-13,Day 194 Assignment,Pending,
195,2026-07-14,Day 195 Assignment,Pending,
196,2026-07-15,Day 196 Assignment,Pending,
197,2026-07-16,Day 197 Assignment,Pending,
198,2026-07-17,Day 198 Assignment,Pending,
199,2026-07-18,Day 199 Assignment,Pending,
200,2026-07-19,Day 200 Assignment,Pending,
201,2026-07-20,Day 201 Assignment,Pending,
202,2026-07-21,Day 202 Assignment,Pending,
203,2026-07-22,Day 203 Assignment,Pending,
204,2026-07-23,Day 204 Assignment,Pending,
205,2026-07-24,Day 205 Assignment,Pending,
206,2026-07-25,Day 206 Assignment,Pending,
207,2026-07-26,Day 207 Assignment,Pending,
208,2026-07-27,Day 208 Assignment,Pending,
209,2026-07-28,Day 209 Assignment,Pending,
210,2026-07-29,Day 210 Assignment,Pending,
211,2026-07-30,Day 211 Assignment,Pending,
212,2026-07-31,Day 212 Assignment,Pending,
213,2026-08-01,Day 213 Assignment,Pending,
214,2026-08-02,Day 214 Assignment,Pending,
215,2026-08-03,Day 215 Assignment,Pending,
216,2026-08-04,Day 216 Assignment,Pending,
217,2026-08-05,Day 217 Assignment,Pending,
218,2026-08-06,Day 218 Assignment,Pending,
219,2026-08-07,Day 219 Assignment,Pending,
220,2026-08-08,Day 220 Assignment,Pending,
221,2026-08-09,Day 221 Assignment,Pending,
222,2026-08-10,Day 222 Assignment,Pending,
223,2026-08-11,Day 223 Assignment,Pending,
224,2026-08-12,Day 224 Assignment,Pending,
225,2026-08-13,Day 225 Assignment,Pending,
226,2026-08-14,Day 226 Assignment,Pending,
227,2026-08-15,Day 227 Assignment,Pending,
228,2026-08-16,Day 228 Assignment,Pending,
229,2026-08-17,Day 229 Assignment,Pending,
230,2026-08-18,Day 230 Assignment,Pending,
231,2026-08-19,Day 231 Assignment,Pending,
232,2026-08-20,Day 232 Assignment,Pending,
233,2026-08-21,Day 233 Assignment,Pending,
234,2026-08-22,Day 234 Assignment,Pending,
235,2026-08-23,Day 235 Assignment,Pending,
236,2026-08-24,Day 236 Assignment,Pending,
237,2026-08-25,Day 237 Assignment,Pending,
238,2026-08-26,Day 238 Assignment,Pending,
239,2026-08-27,Day 239 Assignment,Pending,
240,2026-08-28,Day 240 Assignment,Pending,
241,2026-08-29,Day 241 Assignment,Pending,
242,2026-08-30,Day 242 Assignment,Pending,
243,2026-08-31,Day 243 Assignment,Pending,
244,2026-09-01,Day 244 Assignment,Pending,
245,2026-09-02,Day 245 Assignment,Pending,
246,2026-09-03,Day 246 Assignment,Pending,
247,2026-09-04,Day 247 Assignment,Pending,
248,2026-09-05,Day 248 Assignment,Pending,
249,2026-09-06,Day 249 Assignment,Pending,
250,2026-09-07,Day 250 Assignment,Pending,
251,2026-09-08,Day 251 Assignment,Pending,
252,2026-09-09,Day 252 Assignment,Pending,
253,2026-09-10,Day 253 Assignment,Pending,
254,2026-09-11,Day 254 Assignment,Pending,
255,2026-09-12,Day 255 Assignment,Pending,
256,2026-09-13,Day 256 Assignment,Pending,
257,2026-09-14,Day 257 Assignment,Pending,
258,2026-09-15,Day 258 Assignment,Pending,
259,2026-09-16,Day 259 Assignment,Pending,
260,2026-09-17,Day 260 Assignment,Pending,
261,2026-09-18,Day 261 Assignment,Pending,
262,2026-09-19,Day 262 Assignment,Pending,
263,2026-09-20,Day 263 Assignment,Pending,
264,2026-09-21,Day 264 Assignment,Pending,
265,2026-09-22,Day 265 Assignment,Pending,
266,2026-09-23,Day 266 Assignment,Pending,
267,2026-09-24,Day 267 Assignment,Pending,
268,2026-09-25,Day 268 Assignment,Pending,
269,2026-09-26,Day 269 Assignment,Pending,
270,2026-09-27,Day 270 Assignment,Pending,
271,2026-09-28,Day 271 Assignment,Pending,
272,2026-09-29,Day 272 Assignment,Pending,
273,2026-09-30,Day 273 Assignment,Pending,
274,2026-10-01,Day 274 Assignment,Pending,
275,2026-10-02,Day 275 Assignment,Pending,
276,2026-10-03,Day 276 Assignment,Pending,
277,2026-10-04,Day 277 Assignment,Pending,
278,2026-10-05,Day 278 Assignment,Pending,
279,2026-10-06,Day 279 Assignment,Pending,
280,2026-10-07,Day 280 Assignment,Pending,
281,2026-10-08,Day 281 Assignment,Pending,
282,2026-10-09,Day 282 Assignment,Pending,
283,2026-10-10,Day 283 Assignment,Pending,
284,2026-10-11,Day 284 Assignment,Pending,
285,2026-10-12,Day 285 Assignment,Pending,
286,2026-10-13,Day 286 Assignment,Pending,
287,2026-10-14,Day 287 Assignment,Pending,
288,2026-10-15,Day 288 Assignment,Pending,
289,2026-10-16,Day 289 Assignment,Pending,
290,2026-10-17,Day 290 Assignment,Pending,
291,2026-10-18,Day 291 Assignment,Pending,
292,2026-10-19,Day 292 Assignment,Pending,
293,2026-10-20,Day 293 Assignment,Pending,
294,2026-10-21,Day 294 Assignment,Pending,
295,2026-10-22,Day 295 Assignment,Pending,
296,2026-10-23,Day 296 Assignment,Pending,
297,2026-10-24,Day 297 Assignment,Pending,
298,2026-10-25,Day 298 Assignment,Pending,
299,2026-10-26,Day 299 Assignment,Pending,
300,2026-10-27,Day 300 Assignment,Pending,
301,2026-10-28,Day 301 Assignment,Pending,
302,2026-10-29,Day 302 Assignment,Pending,
303,2026-10-30,Day 303 Assignment,Pending,
304,2026-10-31,Day 304 Assignment,Pending,
305,2026-11-01,Day 305 Assignment,Pending,
306,2026-11-02,Day 306 Assignment,Pending,
307,2026-11-03,Day 307 Assignment,Pending,
308,2026-11-04,Day 308 Assignment,Pending,
309,2026-11-05,Day 309 Assignment,Pending,
310,2026-11-06,Day 310 Assignment,Pending,
311,2026-11-07,Day 311 Assignment,Pending,
312,2026-11-08,Day 312 Assignment,Pending,
313,2026-11-09,Day 313 Assignment,Pending,
314,2026-11-10,Day 314 Assignment,Pending,
315,2026-11-11,Day 315 Assignment,Pending,
316,2026-11-12,Day 316 Assignment,Pending,
317,2026-11-13,Day 317 Assignment,Pending,
318,2026-11-14,Day 318 Assignment,Pending,
319,2026-11-15,Day 319 Assignment,Pending,
320,2026-11-16,Day 320 Assignment,Pending,
321,2026-11-17,Day 321 Assignment,Pending,
322,2026-11-18,Day 322 Assignment,Pending,
323,2026-11-19,Day 323 Assignment,Pending,
324,2026-11-20,Day 324 Assignment,Pending,
325,2026-11-21,Day 325 Assignment,Pending,
326,2026-11-22,Day 326 Assignment,Pending,
327,2026-11-23,Day 327 Assignment,Pending,
328,2026-11-24,Day 328 Assignment,Pending,
329,2026-11-25,Day 329 Assignment,Pending,
330,2026-11-26,Day 330 Assignment,Pending,
331,2026-11-27,Day 331 Assignment,Pending,
332,2026-11-28,Day 332 Assignment,Pending,
333,2026-11-29,Day 333 Assignment,Pending,
334,2026-11-30,Day 334 Assignment,Pending,
335,2026-12-01,Day 335 Assignment,Pending,
336,2026-12-02,Day 336 Assignment,Pending,
337,2026-12-03,Day 337 Assignment,Pending,
338,2026-12-04,Day 338 Assignment,Pending,
339,2026-12-05,Day 339 Assignment,Pending,
340,2026-12-06,Day 340 Assignment,Pending,
341,2026-12-07,Day 341 Assignment,Pending,
342,2026-12-08,Day 342 Assignment,Pending,
343,2026-12-09,Day 343 Assignment,Pending,
344,2026-12-10,Day 344 Assignment,Pending,
345,2026-12-11,Day 345 Assignment,Pending,
346,2026-12-12,Day 346 Assignment,Pending,
347,2026-12-13,Day 347 Assignment,Pending,
348,2026-12-14,Day 348 Assignment,Pending,
349,2026-12-15,Day 349 Assignment,Pending,
350,2026-12-16,Day 350 Assignment,Pending,
351,2026-12-17,Day 351 Assignment,Pending,
352,2026-12-18,Day 352 Assignment,Pending,
353,2026-12-19,Day 353 Assignment,Pending,
354,2026-12-20,Day 354 Assignment,Pending,
355,2026-12-21,Day 355 Assignment,Pending,
356,2026-12-22,Day 356 Assignment,Pending,
357,2026-12-23,Day 357 Assignment,Pending,
358,2026-12-24,Day 358 Assignment,Pending,
359,2026-12-25,Day 359 Assignment,Pending,
360,2026-12-26,Day 360 Assignment,Pending,
361,2026-12-27,Day 361 Assignment,Pending,
362,2026-12-28,Day 362 Assignment,Pending,
363,2026-12-29,Day 363 Assignment,Pending,
364,2026-12-30,Day 364 Assignment,Pending,
365,2026-12-31,Day 365 Assignment,Pending,
